Model,Training Time (s),Inference Time (s)
random_forest,2.934116499964148,0.08123690029606223
svm,4.646384099964052,0.6910269996151328
mlp,0.9041990996338427,0.003423099871724844
gaussian_process,150.18436090042815,0.2678503002971411
